Département;Bassin de formation;Rue;Secteur;Nom;Voie;Lieu-dit;Boite postale;Code postal;Commune;Téléphone;Fax;Adresse électronique;Site internet;Responsable;Nombre d'étudiants
Ardèche;ARDECHE MERIDIONALE;0070922P;Public;SEGPA CLG ROQUA;Quartier ROQUA ;;BP60200;07204;AUBENAS;0475935232;0475930100;ce.0070922P@ac-grenoble.fr;http://www.ac-grenoble.fr/college/roqua.aubenas;"LE PRINCIPAL : M. SOUCHON SYLVAIN
LE GESTIONNAIRE : MME ZAOUANE CELINE
L AGENT COMPTABLE : MME DUCLOCHER CORINNE";-483,8
Ardèche;ARDECHE MERIDIONALE;0070006U;Public;COLLEGE LE LAOUL;29 avenue Du Marechal Leclerc ;;BP10;07700;BOURG-SAINT-ANDEOL;0475548530;0475546640;ce.0070006U@ac-grenoble.fr;https://college-le-laoul-bsa.web.ac-grenoble.fr/;"LE PRINCIPAL : MME PARVY FLORENCE
LE PRINCIPAL ADJOINT : MME CAUCHOIS DEBORAH
LE GESTIONNAIRE : MME MENARD FRANCOISE
L AGENT COMPTABLE : M. CARIAS JEAN-MARC";-539,4
Ardèche;ARDECHE MERIDIONALE;0070860X;Privé sous-contrat;COLLEGE PRIVE MARIE RIVIER;21 avenue NOTRE DAME ;;BP31;07700;BOURG-SAINT-ANDEOL;0475545250;0475544782;ce.0070860X@ac-grenoble.fr;http://www.marie-rivier.com;"LE DIRECTEUR : M. AMBROSINI FREDERIC
LE DIRECTEUR ADJOINT : MME PATRON JENNIFER";-595
Ardèche;ARDECHE MERIDIONALE;0070066J;Privé sous-contrat;LYCEE GENERAL ET TECHNOL PR MARIE RIVIER;21 avenue NOTRE DAME ;;BP31;07700;BOURG-SAINT-ANDEOL;0475545250;0475544782;ce.0070066J@ac-grenoble.fr;http://www.marie-rivier.com;"LE DIRECTEUR : M. AMBROSINI FREDERIC
LE DIRECTEUR ADJOINT : MME PINEAU STEPHANIE";-650,6
﻿Ardèche;ARDECHE MERIDIONALE;0070107D;Privé sous-contrat;LYCEE PROFESSIONNEL PRIVE MARIE RIVIER;21 avenue NOTRE DAME ;;BP31;07700;BOURG-SAINT-ANDEOL;0475545250;0475545250;ce.0070107D@ac-grenoble.fr;http://www.marie-rivier.com;"LE DIRECTEUR : M. AMBROSINI FREDERIC
LE DIRECTEUR ADJOINT : M. LANFLE DAVID";-706,2
Ardèche;ARDECHE MERIDIONALE;0071244P;Public;SEGPA CLG LE LAOUL;29 avenue MARECHAL LECLERC ;;BP10;07700;BOURG-SAINT-ANDEOL;0475548530;0475546640;ce.0071244P@ac-grenoble.fr;https://college-le-laoul-bsa.web.ac-grenoble.fr/;"LE PRINCIPAL : MME PARVY FLORENCE
LE PRINCIPAL ADJOINT : M. BEN RHOUMA SADRI
LE GESTIONNAIRE : MME MENARD FRANCOISE
L AGENT COMPTABLE : M. CARIAS JEAN-MARC";-761,8
Ardèche;ARDECHE MERIDIONALE;0071474P;Privé hors-contrat;ECOLE SECONDAIRE PRIVEE LA FORET;14 place Paul Perbost ;;;07140;CHAMBONAS;0677649916;;ce.0071474P@ac-grenoble.fr;;LE DIRECTEUR : MME BOUET MATHILDE;-817,4
Ardèche;DROME ARDECHE CENTRE;0070009X;Public;LYCEE PROFESSIONNEL LEON PAVIN;241  chemin DU TROUILLET ;;;07210;CHOMERAC;0475651044;0475650661;ce.0070009X@ac-grenoble.fr;https://leon-pavin.ent.auvergnerhonealpes.fr;"LE PROVISEUR : M. GIMENO CHRISTOPHE
LE GESTIONNAIRE : M. LAPASSET NICOLAS
L AGENT COMPTABLE : M. GARCIA JEROME";-873
Ardèche;ARDECHE MERIDIONALE;0070010Y;Public;COLLEGE ALBERT MERCOYROL;Rue Du verger ;;BP41;07350;CRUAS;0475920494;0475514587;ce.0070010Y@ac-grenoble.fr;https://albert-mercoyrol.ent.auvergnerhonealpes.fr/;"LE PRINCIPAL : MME CHANTRELLE ANNE
LE GESTIONNAIRE : MME ADELANTADO ISABELLE
L AGENT COMPTABLE : MME RIBOLLET SYLVIE";-928,6
Ardèche;DROME ARDECHE CENTRE;0070011Z;Public;COLLEGE CHARLES DE GAULLE;210 rue André Malraux ;;;07500;GUILHERAND-GRANGES;0475446486;0475407721;ce.0070011Z@ac-grenoble.fr;https://guilherand-granges.ent.auvergnerhonealpes.fr/;"LE PRINCIPAL : MME MERIAUDEAU SANDRA
LE PRINCIPAL ADJOINT : M. EYMARD NICOLAS
LE GESTIONNAIRE : MME BARNERON LAETITIA
L AGENT COMPTABLE : M. CHABAL VINCENT";-984,2
Ardèche;ARDECHE MERIDIONALE;0070012A;Public;COLLEGE VALLEE DE LA BEAUME;110 allée Marcel Violet ;;;07260;JOYEUSE;0475394246;0475399282;ce.0070012A@ac-grenoble.fr;https://college-vallee-de-la-beaume-joyeuse.web.ac-grenoble.fr/;"LE PRINCIPAL : M. DUMONT EMMANUEL
LE GESTIONNAIRE : MME LEGGER VIRGINIE
L AGENT COMPTABLE : MME CHIRPAZ MAUD";-1039,8
﻿Ardèche;DROME ARDECHE CENTRE;0070042H;Public;COLLEGE LES TROIS VALLEES;10 rue du Collège ;;;07800;LA VOULTE-SUR-RHONE;0475620188;0475622623;ce.0070042H@ac-grenoble.fr;https://college-les-trois-vallees-la-voulte-sur-rhone.web.ac-grenoble.fr;"LE PRINCIPAL : M. HUAN THIERRY
LE PRINCIPAL ADJOINT : M. GUIRAMAND-JARRY CYRIL
LE GESTIONNAIRE : MME BROT CHRISTINE
L AGENT COMPTABLE : M. GARCIA JEROME";-1095,4
Ardèche;DROME ARDECHE CENTRE;0071198P;Public;SEGPA CLG LES TROIS VALLEES;10 rue du Collège ;;;07800;LA VOULTE-SUR-RHONE;0475620188;0475622623;ce.0071198P@ac-grenoble.fr;http://www.ac-grenoble.fr/college/3-vallees.la-voulte-sur-rhone/;"LE PRINCIPAL : M. HUAN THIERRY
LE PRINCIPAL ADJOINT : M. GADENNE MIKAEL
LE GESTIONNAIRE : MME BROT CHRISTINE
L AGENT COMPTABLE : M. GARCIA JEROME";-1151
Ardèche;DROME ARDECHE CENTRE;0070872K;Public;COLLEGE DU VIVARAIS;9 avenue DE TOURNON ;;;07270;LAMASTRE;0475064249;0475064813;ce.0070872K@ac-grenoble.fr;https://vivarais.ent.auvergnerhonealpes.fr;"LE PRINCIPAL : MME THOMAS VALERIE
LE GESTIONNAIRE : MME VIALATTE MARIE-CLAIRE
L AGENT COMPTABLE : M. BLANC GERARD";-1206,6
Ardèche;DROME ARDECHE CENTRE;0071168G;Privé sous-contrat;COLLEGE PRIVE CHARLES DE FOUCAULD;2 rue DE MACHEVILLE ;;;07270;LAMASTRE;0475064167;;ce.0071168G@ac-grenoble.fr;http://www.chdf-lamastre.fr;LE DIRECTEUR : MME BILLOT LAMBERT ISABELLE;-1262,2
Ardèche;DROME ARDECHE CENTRE;0071464D;Privé hors-contrat;ECOLE 2D DEGRE PROF.PRIVEE CHARLES DE FOUCAULD;2 grand rue De macheville ;;;07270;LAMASTRE;0475064137;;ce.0071464D@ac-grenoble.fr;;LE DIRECTEUR : MME BILLOT ISABELLE;-1317,8
Ardèche;ARDECHE MERIDIONALE;0070017F;Public;COLLEGE LA SEGALIERE;161 voie d'Aubesson ;;;07110;LARGENTIERE;0475391364;0475391483;ce.0070017F@ac-grenoble.fr;https://hotelier-largentiere.ent.auvergnerhonealpes.fr/;"LE PRINCIPAL : M. BERNASCONI CHRISTOPHE
LE PRINCIPAL ADJOINT : M. CAMBA JIMMY
LE GESTIONNAIRE : MME CHIRPAZ MAUD
L AGENT COMPTABLE : MME CHIRPAZ MAUD";-1373,4
Ardèche;ARDECHE MERIDIONALE;0070080Z;Privé sous-contrat;COLLEGE PRIVE LE PORTALET NOTRE DAME;3 place Mazon ;;;07110;LARGENTIERE;0475391360;;Ce.0070080Z@ac-grenoble.fr;;LE DIRECTEUR : M. BONO SEBASTIEN;-1429
﻿Ardèche;ARDECHE MERIDIONALE;0070016E;Public;LP LYCEE DES METIERS HOTELIER;161 voie d'Aubesson ;;;07110;LARGENTIERE;0475391364;0475391483;ce.0070016E@ac-grenoble.fr;https://hotelier-largentiere.ent.auvergnerhonealpes.fr/;"LE PROVISEUR : M. BERNASCONI CHRISTOPHE
LE PROVISEUR ADJOINT : M. CAMBA JIMMY
LE GESTIONNAIRE : MME CHIRPAZ MAUD
L AGENT COMPTABLE : MME CHIRPAZ MAUD";-1484,6
Ardèche;DROME ARDECHE CENTRE;0070849K;Public;COLLEGE DES DEUX VALLEES;4 rue DES DEUX VALLEES ;;;07160;LE CHEYLARD;0475291366;0475294297;ce.0070849K@ac-grenoble.fr;https://cheylard.ent.auvergnerhonealpes.fr/;"LE PRINCIPAL : MME GERARDIN SANDRINE
LE PRINCIPAL ADJOINT : MME FERRIER SANDRINE
LE GESTIONNAIRE : MME PIRAD STEPHANIE
L AGENT COMPTABLE : M. GARCIA JEROME";-1540,2
Ardèche;DROME ARDECHE CENTRE;0070861Y;Privé sous-contrat;COLLEGE PRIVE SAINT LOUIS LES MARISTES;20 avenue DE CHABANNES ;;BP37;07160;LE CHEYLARD;0475290527;0475294654;ce.0070861Y@ac-grenoble.fr;http://www.maristes-st-louis.com;LE DIRECTEUR : M. CHEK ANTONY;-1595,8
Ardèche;DROME ARDECHE CENTRE;0071397F;Public;LYCEE POLYVALENT LE CHEYLARD;4 rue Des deux vallées ;;;07160;LE CHEYLARD;0475291366;0475294297;ce.0071397F@ac-grenoble.fr;https://cheylard.ent.auvergnerhonealpes.fr/;"LE PROVISEUR : MME GERARDIN SANDRINE
LE PROVISEUR ADJOINT : MME FERRIER SANDRINE
LE GESTIONNAIRE : MME PIRAD STEPHANIE
L AGENT COMPTABLE : M. GARCIA JEROME";-1651,4
Ardèche;DROME ARDECHE CENTRE;0070019H;Public;COLLEGE ALEX MEZENC;180 rue ALEX MEZENC ;;;07250;LE POUZIN;0475850136;0475850145;ce.0070019H@ac-grenoble.fr;https://mezenc.ent.auvergnerhonealpes.fr/;"LE PRINCIPAL : MME ARGAUD NATHALIE
LE GESTIONNAIRE : MME FARINA-PLANET ISABELLE
L AGENT COMPTABLE : M. GARCIA JEROME";-1707
Ardèche;ARDECHE MERIDIONALE;0070847H;Public;COLLEGE MARCEL CHAMONTIN;24 avenue Du 8 Mai 1945 ;;BP2;07401;LE TEIL;0475495330;0475495339;ce.0070847H@ac-grenoble.fr;https://college-marcel-chamontin-le-teil.web.ac-grenoble.fr;"LE PRINCIPAL : M. PARCOLLET HERVE
LE PRINCIPAL ADJOINT : MME MALHAIRE VALERIE
LE GESTIONNAIRE : MME LAFFONT VERONIQUE
L AGENT COMPTABLE : MME RIBOLLET SYLVIE";-1762,6
Ardèche;ARDECHE MERIDIONALE;0070864B;Privé sous-contrat;COLLEGE PRIVE GABRIEL LONGUEVILLE;20 boulevard Jean Jaurès ;;BP4;07400;LE TEIL;0475490266;;Ce.0070864B@ac-grenoble.fr;https://www.lapresentation-leteil.org/;"LE DIRECTEUR : M. PEYRARD FRANCK
LE DIRECTEUR ADJOINT : MME FAURE PINAULT VIRGINIE";-1818,2
﻿Ardèche;ARDECHE MERIDIONALE;0071351F;Public;LYCEE POLYVALENT XAVIER MALLET;1 rue FREDERIC MISTRAL ;;;07400;LE TEIL;0475922200;0475521295;ce.0071351F@ac-grenoble.fr;https://lyc-xavier-mallet.ent.auvergnerhonealpes.fr;"LE PROVISEUR : M. JUGLAIR FREDERIC
LE PROVISEUR ADJOINT : MME BLACHON CHRYSTELE
LE GESTIONNAIRE : MME TOMIETTO VANESSA
L AGENT COMPTABLE : MME DUCLOCHER CORINNE";-1873,8
Ardèche;ARDECHE MERIDIONALE;0070112J;Privé sous-contrat;LYCEE PROFESSIONNEL PRIVE SAINT ANDRE;18 rue EMILE COMBES ;;BP20;07400;LE TEIL;0475490244;0475515082;Ce.0070112J@ac-grenoble.fr;;"LE DIRECTEUR : M. PEYRARD FRANCK
LE DIRECTEUR ADJOINT : M. PYOT CHRISTOPHE";-1929,4
Ardèche;ARDECHE MERIDIONALE;0070037C;Public;COLLEGE LEONCE VIELJEUX;37 route Du Roussillon ;;;07140;LES VANS;0475372436;0475370428;ce.0070037C@ac-grenoble.fr;https://leonce-vieljeux.ent.auvergnerhonealpes.fr/;"LE PRINCIPAL : MME PAUL MARIE NOELLE
LE GESTIONNAIRE : MME FOUQUART MARIE-ASTRID
L AGENT COMPTABLE : MME CHIRPAZ MAUD";-1985
Ardèche;ARDECHE MERIDIONALE;0070018G;Public;COLLEGE JOSEPH DURAND;171 allée DE LA PRADE ;LA PRADE                ;;07560;MONTPEZAT-SOUS-BAUZON;0475944329;;ce.0070018G@ac-grenoble.fr;https://college-joseph-durand-montpezat.web.ac-grenoble.fr;"LE PRINCIPAL : M. KILOUCHI SAMY
LE GESTIONNAIRE : M. BERANGER JULIEN
L AGENT COMPTABLE : MME DUCLOCHER CORINNE";-2040,6
Ardèche;DROME ARDECHE CENTRE;0071246S;Public;COLLEGE BERNARD DE VENTADOUR;252 avenue PIERRE BOZON ;;BP720;07000;PRIVAS;0475669380;0475640535;ce.0071246S@ac-grenoble.fr;http://www.ac-grenoble.fr/college/privas.ventadour;"LE PRINCIPAL : M. VAN OUTRYVE DAVID
LE PRINCIPAL ADJOINT : M. CUVELIER VINCENT
LE GESTIONNAIRE : M. RUSSIER JEAN-MARC
L AGENT COMPTABLE : M. GARCIA JEROME";-2096,2
Ardèche;DROME ARDECHE CENTRE;0071281E;Privé sous-contrat;COLLEGE PRIVE SACRE COEUR;18 avenue DU VANEL ;;;07000;PRIVAS;0475647614;0475647621;ce.0071281E@ac-grenoble.fr;http://www.sacrecoeur-notredame.com;LE DIRECTEUR : M. LAFAYE DE MICHEAUX KENNETH;-2151,8
Ardèche;DROME ARDECHE CENTRE;0070069M;Privé sous-contrat;LYC GEN TECH PRIVE SACRE COEUR  NOTRE DAME;6 boulevard DE VERNON ;;;07000;PRIVAS;0475641276;0475647622;ce.0070069M@ac-grenoble.fr;http://www.sacrecoeur-notredame.com;LE DIRECTEUR : M. LAFAYE DE MICHEAUX KENNETH;-2207,4
﻿Ardèche;DROME ARDECHE CENTRE;0070021K;Public;LYCEE POLYVALENT VINCENT D'INDY;9 boulevard du Lycée ;;BP628;07006;PRIVAS;0475663800;0475648661;ce.0070021K@ac-grenoble.fr;http://vincent-indy.ent.auvergnerhonealpes.fr;"LE PROVISEUR : M. MONNEY LAURENT
LE PROVISEUR ADJOINT : MME MAZON FREDERIQUE
LE GESTIONNAIRE : M. GARCIA JEROME
L AGENT COMPTABLE : M. GARCIA JEROME";-2263
Ardèche;DROME ARDECHE CENTRE;0070114L;Privé sous-contrat;LYCEE PROF PRIVE DES METIERS NOTRE DAME;26 avenue DU VANEL ;;;07000;PRIVAS;0475647626;0475658143;ce.0070114L@ac-grenoble.fr;http://www.sacrecoeur-notredame.com;LE DIRECTEUR : M. LAFAYE DE MICHEAUX KENNETH;-2318,6
Ardèche;ARDECHE MERIDIONALE;0070863A;Privé sous-contrat;COLLEGE PRIVE SAINT JOSEPH;12 avenue DE VALLON ;;;07120;RUOMS;0475396260;;ce.0070863A@ac-grenoble.fr;http://www.saintjoseph-ruoms.fr;"LE DIRECTEUR : M. BONO SEBASTIEN
LE DIRECTEUR ADJOINT : MME BARDE VIRGINIE";-2374,2
Ardèche;ARDECHE VERTE;0070023M;Public;COLLEGE LOUIS JOUVET;Rue CLAUDE JACQUILLAT ;;BP39;07320;SAINT-AGREVE;0475301532;0475301036;ce.0070023M@ac-grenoble.fr;https://college-louis-jouvet-st-agreve.web.ac-grenoble.fr;"LE PRINCIPAL : MME BRUNEAU HELENE
LE GESTIONNAIRE : M. CLERICI ROLAND
L AGENT COMPTABLE : M. BLANC GERARD";-2429,8
Ardèche;ARDECHE MERIDIONALE;0070024N;Public;COLLEGE DE LA MONTAGNE ARDECHOISE;80 route De la cité scolaire ;;;07510;SAINT-CIRGUES-EN-MONTAGNE;0475389179;;ce.0070024N@ac-grenoble.fr;https://montagne-ardechoise.ent.auvergnerhonealpes.fr;"LE PRINCIPAL : MME PEDARD BARBARELLA
LE GESTIONNAIRE : MME ROZIERE DEBRAINE LAURENCE
L AGENT COMPTABLE : MME DUCLOCHER CORINNE";-2485,4
Ardèche;DROME ARDECHE CENTRE;0071320X;Public;COLLEGE DE CRUSSOL;15 rue Raoul Follereau ;;;07130;SAINT-PERAY;0475402490;0475405186;ce.0071320X@ac-grenoble.fr;https://crussol.ent.auvergnerhonealpes.fr/;"LE PRINCIPAL : MME PEILLARD SOPHIE
LE PRINCIPAL ADJOINT : MME PRADIER EMILIE
LE GESTIONNAIRE : MME CAUCHOIS FABIENNE
L AGENT COMPTABLE : M. SELEK NICOLAS";-2541
Ardèche;DROME ARDECHE CENTRE;0071321Y;Public;SEGPA CLG DE CRUSSOL;RUE RAOUL FOLLEREAU ;;;07130;SAINT-PERAY;0475402490;0475405186;ce.0071321Y@ac-grenoble.fr;;"LE PRINCIPAL : MME PEILLARD SOPHIE
LE GESTIONNAIRE : MME CAUCHOIS FABIENNE
L AGENT COMPTABLE : M. SELEK NICOLAS";-2596,6
﻿Ardèche;DROME ARDECHE CENTRE;0070025P;Public;COLLEGE DE L'EYRIEUX;390 route de l'ancienne gare ;;;07190;SAINT-SAUVEUR-DE-MONTAGUT;0475654054;;ce.0070025P@ac-grenoble.fr;https://eyrieux.ent.auvergnerhonealpes.fr/;"LE PRINCIPAL : MME TESSIER FLORENCE
LE GESTIONNAIRE : MME ROCHE SOPHIE
L AGENT COMPTABLE : M. GARCIA JEROME";-2652,2
Ardèche;ARDECHE VERTE;0070086F;Privé sous-contrat;COLLEGE PRIVE SAINT JOSEPH EN VAL D'AY;185 chemin DU COUVENT ;;;07290;SATILLIEU;0475349642;;Ce.0070086F@ac-grenoble.fr;https://sites.google.com/site/stjosephenvalday/home;"LE DIRECTEUR : MME DUFAUT VIRGINIE
LE DIRECTEUR ADJOINT : MME CARCEL MARINA
L  ADJOINT AU CHEF D ETABLISSEMENT : MME DESGLENE AURORE";-2707,8
Ardèche;ARDECHE VERTE;0070848J;Public;COLLEGE MARIE CURIE;Place Carnot ;;BP106;07301;TOURNON-SUR-RHONE;0475072080;0475088949;ce.0070848J@ac-grenoble.fr;https://college-marie-curie-tournon-sur-rhone.web.ac-grenoble.fr/;"LE PRINCIPAL : M. VIDAUD MICHAEL
LE PRINCIPAL ADJOINT : M. BELLINGER CHRISTOPHE
LE GESTIONNAIRE : M. BLANC FABRICE
L AGENT COMPTABLE : M. BLANC GERARD
L  ADJOINT AU CHEF D ETABLISSEMENT : MME LEVACHER HECK ELLEN";-2763,4
Ardèche;ARDECHE VERTE;0070092M;Privé sous-contrat;COLLEGE PRIVE NOTRE DAME;4 rue LACHANAL ;;;07300;TOURNON-SUR-RHONE;0475080923;0475088803;ce.0070092M@ac-grenoble.fr;http://www.collegenotredame.tournon.com;LE DIRECTEUR : MME TELUOB PATRICIA;-2819
Ardèche;ARDECHE VERTE;0071192H;Privé sous-contrat;COLLEGE PRIVE SAINT LOUIS;9 avenue MARECHAL FOCH ;;;07300;TOURNON-SUR-RHONE;0475080886;;ce.0071192H@ac-grenoble.fr;https://college-stlouis-tournon.fr/;LE DIRECTEUR : M. BADOL JEROME;-2874,6
Ardèche;ARDECHE VERTE;0071478U;Privé hors-contrat;ECOLE SECONDAIRE PRIVEE ECOLE EQUESTRE DU DOMAINE;74 grande rue ;;;07300;TOURNON-SUR-RHONE;0954203102;;ce.0071478U@ac-grenoble.fr;;LE DIRECTEUR : MME RUIZ MELANIE;-2930,2
